state,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
South Carolina,730685,776728,811153,927812,935008,942203,879260,816317,885292,896078,917467,959193,830722,723256,692880,1290364,1364562,1409626,1502394,1492727
South Dakota,102145,108877,126131,130746,144751,158756,152174,145591,152760,154359,174906,185627,165072,207125,236086,282113,271596,296309,285096,325398
Tennessee,981462,989050,1020978,1085598,1273311,1461023,1410380,1359737,1367783,1397090,1394745,1482557,1442744,1286300,1276287,2036444,1802227,1880397,1932293,1655029
Texas,3940232,4185619,4578617,4810358,5684406,6558453,6584970,6611486,7180804,7744386,7540724,8914255,10039289,13097474,13366868,13999386,14520493,16101982,16591235,15507047
Utah,618681,655409,748293,788964,893713,998462,957123,915784,1008761,1079806,1167513,1550293,1559778,1404294,1473374,1749933,1809150,1863766,1889972,2079344
Vermont,65017,57861,65677,85863,101233,116602,132732,148862,150627,145628,162463,180811,133590,133242,133839,226059,257014,252806,219587,242246
Virginia,1129761,1149754,1249260,1550475,1667534,1784592,1660959,1537326,1760481,1842588,1992755,2229516,2044176,1914621,1836989,2527329,2614694,2518853,2519541,2492657
Washington,1250693,1294354,1423057,1551564,1760431,1969298,2041997,2114695,2222769,2316408,2481484,2802069,2682998,2556292,2607731,2855086,2764417,2962663,3033979,3449493
West Virginia,336400,340063,375847,397260,442783,488305,442617,396928,379093,431351,436676,464902,485749,545067,545429,742551,642570,619442,663977,688598
Wisconsin,1262037,1324087,1401717,1489278,1725018,1960757,2028619,2096481,2167083,2179055,2202509,2365074,2421293,2804348,2757027,3335328,2978752,3171069,3137222,3265633
Wyoming,163915,161550,166051,174160,192995,211829,231398,250967,269448,273965,296556,343752,372138,387688,409966,460731,448143,477169,499858,588395
