state,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Oregon,3122900,3386017,3562280,3687055,3900160,4113264,4096151,4079037,4383735,4654732,4930540,5306565,5449964,5341135,5377137,5355834,5375515,5648365,5991464,6285584
Pennsylvania,11456526,13130636,13748451,14094022,13935164,13776307,15621619,17466932,18456568,19235692,19927258,20705512,21210352,21980914,22022980,21954720,24002254,24073322,24982312,25955384
Rhode Island,1090165,1155096,1222375,1293956,1402345,1510733,1627561,1744388,1790949,1857004,1993397,2056177,2083636,2095919,2108166,2122998,2176272,2191975,2235934,2297516
South Carolina,3114033,3340107,3588571,3918095,4254416,4590736,4743824,4896912,5218073,5571889,5957589,6486766,6612941,6473043,6348464,6405138,6593849,6972009,7181418,7419325
South Dakota,610507,628218,662998,701439,737160,772880,801769,830657,864226,895339,924199,978141,1008093,1045714,1057333,1034926,1057858,1114420,1144394,1185796
Tennessee,3880074,4102843,4346648,4806620,4993365,5180110,5436218,5692325,6063977,6323037,6650273,7187217,7575870,7787670,8082395,7897109,7896419,8228575,8244847,8294165
Texas,18119762,19577728,20773662,22983040,24460490,25937940,27454870,28971800,29750650,31446936,33434484,36273136,37630120,39557944,39381720,37778480,38458788,40392404,42137444,43287224
Utah,1783323,1892836,2007522,2078020,2215334,2352648,2402024,2451399,2576762,2708136,2874111,3222324,3402638,3146199,3406788,3463994,3677422,3685048,3722120,3931265
Vermont,625118,693734,759777,827900,841559,855218,956327,1057435,1119431,1161429,1220275,1274880,1335989,1379279,1382207,1405724,1442269,1471609,1502373,1536843
Virginia,6188464,6815290,7102959,8024813,8517032,9009250,9347617,9685984,10574982,11498811,12374144,13062210,13269084,13348895,13244635,13378595,13729023,14151467,14496257,14385736
Washington,5335341,5711799,5902717,6205786,6468908,6732029,6941105,7150180,7455318,7794498,8302955,9086509,9618279,9499568,9601942,9848714,9919072,10568308,11297901,12315163
West Virginia,1740686,1775425,1887862,1984755,2025897,2067039,2130596,2194153,2272984,2381525,2461132,2529073,2706379,2987162,3010536,2915771,2849026,2852013,2885755,2873668
Wisconsin,5834077,6146795,6411232,6649884,7021194,7392504,7667579,7942653,8246826,8534939,8805031,9127968,9471836,9700207,10047299,9411178,9453634,9562448,9691073,9691073
Wyoming,580453,592887,640003,672297,711298,750299,776085,801871,849527,951412,1114282,1178043,1253743,1322136,1386028,1418805,1425713,1453975,1495720,1542763
