state,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
South Dakota,164631,170071,186234,215239,218023,219758,242515,262740,271087,259013,288188,288083,341196,349643,327806,317702,320015,316731,327121,329441
Tennessee,1306979,1322398,1339348,1371819,1546831,1685719,1739752,1813159,1786028,1837399,1698179,1698962,1847092,1787065,1781824,1689131,1642559,1685640,1654989,1697187
Texas,3200222,3310523,4223072,3628246,3653161,3746084,3643776,3813267,3795462,4207104,3342516,3328439,4594234,4929787,5087413,4655434,4433685,4804004,4908924,4450809
Utah,472742,489605,805148,736428,643525,556048,597231,634238,546482,581171,545540,560306,640462,774993,792948,859929,825997,788089,791753,777612
Vermont,160856,179499,178295,256675,280119,295397,362112,418267,319423,322491,328247,349222,375666,363386,376781,369915,377261,382605,403975,409357
Virginia,1640378,1784731,1935016,2010422,1892140,1684407,2116936,2575039,2494931,2558660,2720401,2712761,2892237,2848148,2822579,2871338,2825206,2848818,2956137,2944186
Washington,1400295,1525621,1979237,2017870,2197061,2344926,2296786,2139838,2176390,2083633,2182764,2408916,2524155,2493145,2327256,1839060,1820979,1838059,1876631,2901736
West Virginia,244177,349489,341300,361858,430290,510465,389122,266982,259912,249728,276218,296352,369133,445900,517629,455113,456719,465629,659151,645795
Wisconsin,1931664,1787055,2091953,2429157,2489094,2601333,2715811,2753299,2119887,2150919,2226843,2220774,2365860,2279735,2292082,2665418,1926339,2565642,2619551,2755461
Wyoming,86908,86279,73391,86866,110606,130190,138253,173099,158670,135816,157365,176371,188057,192367,182269,188748,187699,195481,184149,197222
