state,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Rhode Island,206507,212695,225869,235473,239140,244356,239387,233224,218415,234676,205390,198668,155538,134158,118208,254414,227630,240708,226032,252539
South Carolina,1041841,1094002,1128175,1264293,1244315,1233923,1129899,1023656,1076351,1055144,1051771,1077246,922234,795926,747311,1366769,1421357,1441915,1518894,1492727
South Dakota,145643,153351,175427,178162,192636,207909,195551,182570,185728,181760,200510,208473,183256,227936,254633,298817,282900,303096,288227,325398
Tennessee,1399409,1393052,1420006,1479302,1694532,1913377,1812418,1705101,1662970,1645093,1598916,1665023,1601677,1415542,1376550,2157026,1877238,1923470,1953515,1655029
Texas,5618146,5895340,6368075,6554888,7564852,8589044,8462055,8290757,8730524,9119121,8644579,10011380,11145217,14413453,14416946,14828316,15124855,16470816,16773450,15507047
Utah,882141,923127,1040748,1075091,1189360,1307600,1229957,1148387,1226466,1271487,1338420,1741096,1731603,1545392,1589120,1853550,1884449,1906458,1910729,2079344
Vermont,92704,81496,91346,117002,134721,152704,170568,186672,183134,171479,186245,203064,148306,146630,144353,239444,267711,258597,221999,242246
Virginia,1610860,1619400,1737508,2112772,2219167,2337127,2134426,1927796,2140418,2169673,2284466,2503915,2269363,2106994,1981300,2676977,2723521,2576550,2547212,2492657
Washington,1783290,1823065,1979230,2114256,2342796,2579021,2624080,2651813,2702474,2727602,2844738,3146935,2978557,2813138,2812590,3024141,2879476,3030526,3067300,3449493
West Virginia,479653,478970,522739,541331,589259,639491,568787,497745,460907,507922,500599,522120,539259,599833,588277,786519,669315,633631,671269,688598
Wisconsin,1799464,1864944,1949549,2029381,2295667,2567835,2606889,2628973,2634771,2565867,2524925,2656156,2688023,3086117,2973614,3532819,3102732,3243706,3171677,3265633
Wyoming,233717,227539,230949,237321,256839,277414,297359,314711,327599,322598,339968,386059,413133,426641,442172,488012,466795,488099,505348,588395
