state,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Rhode Island,,541430,588782,640049,772932,916340,1059872,1117135,1265159,1318135,1108008,1294443,1176045,1185242,1192012,1341461,1242709,1307447,1455822,1424855
South Carolina,,3566057,3797549,4106194,4496902,4884935,5269693,5710224,6477104,6272694,6995588,6976262,7280805,7941919,8838604,8534034,8468029,9196482,10246517,10784754
South Dakota,,249822,270221,275896,307480,318335,355862,375902,380185,375090,352575,380052,395041,435939,439356,413481,427485,426217,486011,495613
Tennessee,,4108664,4236200,3956208,4996877,5956009,6667471,7191503,8013904,6720002,6535036,6998980,6826828,7700132,8476470,9169068,9068895,8583406,9470930,10157854
Texas,,10176554,10648806,11609013,12896741,13574690,14638666,15963146,17158852,17247364,16741728,18780428,20206460,21233300,22529998,24280884,24074936,24970344,28009396,29446952
Utah,,790789,935085,1073169,1217234,1350265,1463144,1575419,1812785,1934596,1961465,2081631,2179324,2181307,2312218,2435807,2531550,2887039,3096675,3614555
Vermont,,280790,242174,306513,290810,271516,342002,404777,550690,496920,528430,559017,612138,655733,569946,522813,521171,535864,547273,575454
Virginia,,3269187,3490524,3794870,4090110,4248498,4783415,5145314,5635462,6046975,6110898,6580445,6956182,7631214,8108107,8529014,9146568,9574275,10439810,11271793
Washington,,3329749,3387681,3569986,4127712,5087492,5554657,5874287,6098036,6149254,6366786,6866698,7528563,7768475,8026285,8361415,8232442,10700568,11371367,11561610
West Virginia,,1329086,1421673,1475280,1486547,1555265,1672264,1846459,1882346,1851861,1874813,2010388,2169775,2187565,2310965,2423034,2561212,2751485,3288237,3435902
Wisconsin,,2403545,2575602,2757755,2955600,3325266,3812031,4513681,4669028,4763285,4844851,4936948,5742876,6520954,7046102,6686650,7281096,7393885,8647551,9479950
Wyoming,,460645,472676,507609,539795,573224,636145,709462,807057,904588,917858,1038208,1116870,1138738,1253896,1362475,1395898,1393946,1516696,1604700
