state,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Oklahoma,3936061,4158630,4347936,4473554,4705810,4962332,4841620,4697596,4934071,5042131,5292007,5409295,5519322,5633300,4982272,4988674,5063772,5058584,5011912,4958496
Oregon,4452760,4769121,4954524,5024207,5190364,5386789,5263784,5115084,5329808,5481011,5652301,5959673,6050332,5877790,5799556,5672963,5599251,5777747,6057266,6285584
Pennsylvania,16335187,18494172,19121750,19205376,18545028,18041648,20074658,21903410,22439758,22650292,22844326,23253850,23546884,24189464,23753066,23254700,25001260,24624748,25256682,25955384
Rhode Island,1554402,1626924,1700115,1763224,1866251,1978478,2091507,2187450,2177461,2186648,2285202,2309242,2313169,2306508,2273780,2248705,2266851,2242185,2260491,2297516
South Carolina,4440117,4704457,4991090,5339036,5661810,6012094,6096080,6140694,6344208,6560976,6829696,7285127,7341423,7123428,6847188,6784399,6868294,7131711,7260289,7419325
South Dakota,870486,884829,922117,955824,981018,1012175,1030318,1041638,1050738,1054274,1059489,1098526,1119145,1150783,1140395,1096206,1101888,1139947,1156962,1185796
Tennessee,5532370,5778752,6045446,6549794,6645210,6783946,6985845,7138136,7372670,7445464,7623779,8071787,8410428,8570142,8717334,8364712,8225079,8417060,8335397,8294165
Texas,25835904,27574740,28892620,31318094,32552214,33968696,35281048,36330436,36171264,37029200,38328816,40737464,41775456,43532560,42475480,40015416,40059492,41317636,42600224,43287224
Utah,2542736,2666012,2792121,2831637,2948184,3081061,3086735,3074037,3132864,3188868,3294840,3618913,3777473,3462316,3674419,3669104,3830481,3769458,3762999,3931265
Vermont,891319,977107,1056720,1128147,1119953,1120006,1228933,1326016,1361020,1367599,1398906,1431786,1483162,1517863,1490791,1488960,1502298,1505318,1518873,1536843
Virginia,8823767,9599166,9879004,10935101,11334534,11798642,12012213,12146156,12857214,13540009,14185543,14669846,14730806,14690136,14285110,14170767,14300443,14475622,14655464,14385736
Washington,7607350,8044926,8209672,8456383,8608874,8816361,8919709,8966276,9064282,9178129,9518390,10204834,10677829,10454045,10356254,10431875,10331917,10810387,11421981,12315163
West Virginia,2481942,2500642,2625694,2704549,2696080,2707024,2737936,2751453,2763526,2804279,2821407,2840340,3004514,3287300,3247039,3088419,2967606,2917342,2917448,2873668
Wisconsin,8318468,8657607,8916930,9061538,9343861,9681329,9853269,9960031,10026609,10050008,10093962,10251396,10515253,10674843,10836597,9968432,9847107,9781486,9797506,9691073
Wyoming,827634,835067,890135,916113,946601,982602,997313,1005541,1032867,1120301,1277397,1323031,1391855,1454979,1494912,1502815,1485053,1487280,1512147,1542763
